Equipment ID,Front Liner?,Source Locations,Product Group,Face Hole Drilled,Ream Hole Drilled,Hole Length,Charged Holes,Advance,Wet Holes,Activity,Shift Date,Shift Type,Week,Site Id
DD016,,N-81,,105,6,4.5,0,0,0,Decline Development,4/07/2017,Day 12Hr,1,WBINC
DD016,,N-86,,105,6,4.5,0,0,0,Decline Development,4/07/2017,Day 12Hr,1,WBINC
DD016,,N-86,,0,0,4.5,105,3.1,0,Decline Development,5/07/2017,Day 12Hr,2,WBINC
DD016,,N-81,,0,0,4.5,105,3.1,0,Decline Development,5/07/2017,Day 12Hr,2,WBINC
DD016,,N-86,,0,0,4.5,0,0,0,Decline Development,7/07/2017,Day 12Hr,2,WBINC
DD016,,FENTON DECLINE,,0,0,4.5,0,0,0,Decline Development,8/07/2017,Day 12Hr,2,WBINC
DD016,,Drake Decline,,0,0,4.5,0,0,0,Decline Development,8/07/2017,Day 12Hr,2,WBINC
DD016,,Drake Decline,,78,6,4.5,78,4.1,0,Decline Development,9/07/2017,Day 12Hr,2,WBINC
DD016,,FENTON DECLINE,,0,0,4.5,0,0,0,Decline Development,9/07/2017,Day 12Hr,2,WBINC
DD016,,Drake Decline,,0,0,4.5,0,0,0,Decline Development,10/07/2017,Day 12Hr,2,WBINC
DD016,,FENTON DECLINE,,78,6,4.5,78,4.1,0,Decline Development,10/07/2017,Day 12Hr,2,WBINC
DD016,,FENTON DECLINE,,0,0,4.5,0,0,0,Decline Development,11/07/2017,Day 12Hr,2,WBINC
DD016,,Drake Decline,,0,0,4.5,0,0,0,Decline Development,11/07/2017,Day 12Hr,2,WBINC
DD016,,FENTON DECLINE,,0,0,4.5,0,0,0,Decline Development,12/07/2017,Day 12Hr,3,WBINC
DD016,,FENTON DECLINE,,0,0,4.5,0,0,0,Decline Development,13/07/2017,Day 12Hr,3,WBINC
DD016,,Drake Decline,,43,0,4.5,43,4.3,0,Decline Development,13/07/2017,Day 12Hr,3,WBINC
DD016,,FENTON DECLINE,,0,0,4.5,0,0,0,Decline Development,14/07/2017,Day 12Hr,3,WBINC
DD016,,Drake Decline,,42,6,4.5,42,4.3,0,Decline Development,14/07/2017,Day 12Hr,3,WBINC
DD016,,FENTON DECLINE,,0,0,4.5,0,0,0,Decline Development,15/07/2017,Day 12Hr,3,WBINC
DD016,,Drake Decline,,2,0,4.5,0,0,0,Decline Development,15/07/2017,Day 12Hr,3,WBINC
DD016,,Drake Decline,,0,0,4.5,0,0,0,Decline Development,16/07/2017,Day 12Hr,3,WBINC
DD016,,FENTON DECLINE,,80,6,4.5,80,4.3,0,Decline Development,16/07/2017,Day 12Hr,3,WBINC
DD016,,FENTON DECLINE,,4,0,4.5,0,0,0,Stripping,16/07/2017,Day 12Hr,3,WBINC
DD016,,FENTON DECLINE,,0,0,4.5,0,0,0,Decline Development,17/07/2017,Day 12Hr,3,WBINC
DD016,,Drake Decline,,0,0,4.5,0,0,0,Decline Development,17/07/2017,Day 12Hr,3,WBINC
DD016,,FENTON DECLINE,,0,0,4.5,0,0,0,Decline Development,19/07/2017,Day 12Hr,4,WBINC
DD016,,Drake Decline,,0,0,4.5,0,0,0,Decline Development,19/07/2017,Day 12Hr,4,WBINC
DD016,,FENTON DECLINE,,0,0,4.5,0,0,0,Decline Development,21/07/2017,Day 12Hr,4,WBINC
DD016,,Drake Decline,,71,6,4.5,0,4.1,0,Decline Development,21/07/2017,Day 12Hr,4,WBINC
DD016,,Drake Decline,,0,0,4.5,0,0,0,Decline Development,22/07/2017,Day 12Hr,4,WBINC
DD016,,FENTON DECLINE,,81,6,4.5,0,4.1,0,Decline Development,22/07/2017,Day 12Hr,4,WBINC
DD016,,FENTON DECLINE,,0,0,4.5,0,0,0,Decline Development,23/07/2017,Day 12Hr,4,WBINC
DD016,,Drake Decline,,79,6,4.5,0,4.1,0,Decline Development,23/07/2017,Day 12Hr,4,WBINC
DD016,,Drake Decline,,0,0,4.5,0,0,0,Decline Development,24/07/2017,Day 12Hr,4,WBINC
DD016,,FENTON DECLINE,,0,0,4.5,0,0,0,Decline Development,24/07/2017,Day 12Hr,4,WBINC
DD016,,Drake Decline,,80,6,4.5,0,4.1,0,Decline Development,25/07/2017,Day 12Hr,4,WBINC
DD016,Yes,FENTON DECLINE,,0,0,3.5,0,3,0,Decline Development,26/07/2017,Day 12Hr,5,WBINC
DD016,Yes,FENTON DECLINE,,0,0,0,0,0,0,Decline Development,27/07/2017,Day 12Hr,5,WBINC
DD016,Yes,FENTON DECLINE,,70,6,4.5,0,0,0,Decline Development,28/07/2017,Day 12Hr,5,WBINC
DD016,Yes,Drake Decline,,0,0,4.5,0,0,0,Decline Rehab,28/07/2017,Day 12Hr,5,WBINC
